FIPS,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
18013,3.3,"74,161",111.1
18015,2.9,"64,731",96.9
18017,3.7,"60,452",90.5
18019,3.1,"68,493",102.6
18021,3.4,"59,057",88.5
18023,2.6,"60,916",91.2
18025,3.6,"53,547",80.2
18027,2.4,"63,777",95.5
18029,3.3,"77,621",116.3
18031,2.7,"65,847",98.6
18033,3.0,"72,910",109.2
18035,3.8,"54,059",81.0
18037,2.5,"71,171",106.6
18039,4.0,"63,777",95.5
18041,4.4,"54,892",82.2
18043,2.8,"74,264",111.2
18045,3.1,"63,973",95.8
18047,3.1,"74,779",112.0
18049,3.5,"62,412",93.5
18051,2.4,"66,247",99.2
18053,3.5,"51,053",76.5
18055,3.9,"61,663",92.4
18057,2.5,"117,068",175.3
18059,2.8,"87,845",131.6
18061,2.8,"72,259",108.2
18063,2.7,"94,760",141.9
18065,3.4,"54,714",81.9
18067,5.0,"56,960",85.3
18069,3.0,"59,491",89.1
18071,2.8,"66,082",99.0
18073,3.6,"75,738",113.4
18075,3.1,"57,690",86.4
18077,3.1,"64,214",96.2
18079,3.4,"63,597",95.3
18081,2.7,"83,036",124.4
18083,3.0,"58,238",87.2
18085,3.4,"71,611",107.3
18087,3.1,"81,010",121.3
18089,5.0,"66,169",99.1
18091,4.0,"66,336",99.4
18093,3.8,"60,141",90.1
18095,3.6,"58,926",88.3
18097,3.3,"62,776",94.0
18099,3.4,"70,938",106.2
18101,2.8,"64,216",96.2
18103,3.9,"60,835",91.1
18105,3.3,"64,299",96.3
18107,2.8,"66,283",99.3
18109,3.0,"75,542",113.1
18111,3.9,"66,837",100.1
18113,3.7,"69,567",104.2
18115,3.0,"70,618",105.8
18117,3.4,"54,128",81.1
18119,3.7,"62,460",93.5
18121,3.3,"64,700",96.9
18123,3.0,"55,503",83.1
18125,3.3,"63,487",95.1
18127,3.7,"84,352",126.3
18129,2.7,"75,907",113.7
18131,2.9,"60,487",90.6
18133,3.2,"68,301",102.3
18135,3.2,"56,920",85.3
18137,3.5,"63,571",95.2
18139,2.7,"61,653",92.3
18141,3.9,"61,028",91.4
18143,3.5,"57,837",86.6
18145,2.8,"66,045",98.9
18147,2.9,"70,440",105.5
18149,4.1,"58,523",87.7
18151,2.7,"73,250",109.7
18153,3.8,"55,497",83.1
18155,3.2,"63,246",94.7
18157,2.9,"56,088",84.0
18159,3.0,"65,025",97.4
18161,2.9,"61,171",91.6
18163,3.2,"57,997",86.9
18165,4.1,"58,280",87.3
18167,3.8,"52,286",78.3
18169,3.1,"64,025",95.9
18171,2.9,"73,539",110.1
18173,2.9,"84,567",126.7
18175,3.1,"65,342",97.9
18177,3.4,"51,622",77.3
18179,2.7,"68,879",103.2
18181,2.7,"66,167",99.1
18183,2.7,"72,448",108.5
19000,2.9,"69,708",100.0
19001,2.4,"66,997",96.1
19003,2.2,"58,973",84.6
19005,3.8,"60,743",87.1
19007,3.3,"53,589",76.9
19009,2.2,"60,504",86.8
19011,3.3,"82,762",118.7
19013,3.2,"62,020",89.0
19015,2.5,"74,896",107.4
19017,2.5,"83,797",120.2
19019,2.9,"70,498",101.1
19021,2.4,"67,552",96.9
19023,3.1,"67,233",96.4
19025,2.7,"64,634",92.7
19027,2.4,"73,643",105.6
19029,2.7,"61,204",87.8
19031,3.0,"71,563",102.7
19033,3.1,"63,279",90.8
19035,2.5,"65,985",94.7
19037,2.5,"74,077",106.3
19039,2.9,"65,129",93.4
19041,2.9,"68,542",98.3
19043,4.0,"64,486",92.5
19045,3.7,"61,136",87.7
19047,4.8,"67,363",96.6
19049,2.2,"109,138",156.6
19051,2.4,"65,201",93.5
19053,2.4,"51,749",74.2
19055,2.6,"74,017",106.2
19057,4.2,"59,688",85.6
19059,2.9,"75,406",108.2
19061,2.9,"73,492",105.4
19063,3.1,"56,834",81.5
19065,3.2,"56,599",81.2
19067,3.4,"64,553",92.6
19069,2.8,"63,775",91.5
19071,2.3,"69,018",99.0
19073,2.2,"63,562",91.2
19075,2.8,"79,386",113.9
19077,3.0,"72,701",104.3
19079,2.7,"68,795",98.7
19081,2.8,"67,498",96.8
